DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
Journal,Detecting and dating structural breaks in functional data without dimension reduction.,"Summary Methodology is proposed to uncover structural breaks in functional data that is ‘fully functional’ in the sense that it does not rely on dimension reduction techniques. A thorough asymptotic theory is developed for a fully functional break detection procedure as well as for a break date estimator, assuming a fixed break size and a shrinking break size. The latter result is utilized to derive confidence intervals for the unknown break date. The main results highlight that the fully functional procedures perform best under conditions when analogous estimators based on functional principal component analysis are at their worst, namely when the feature of interest is orthogonal to the leading principal components of the data. The theoretical findings are confirmed by means of a Monte Carlo simulation study in finite samples. An application to annual temperature curves illustrates the practical relevance of the procedures proposed. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Aue, Alexander;Rice, Gregory;Sönmez, Ozan",,,Journal of the Royal Statistical Society: Series B (Statistical Methodology),Wiley-Blackwell Publishing Ltd.,2017,,United Kingdom,,,No Pagination Specified,No Pagination Specified,,,,,2017-49241-001,,1467-9868(Electronic);1369-7412(Print),,http://dx.doi.org/10.1111/rssb.12257
Comment/Reply,Brain stimulation effects on food cravings and consumption: An update on Lowe et al. (2017) and a response to Generoso et al. (2017).,"Reply by the current authors to the comments made by Marcelo B. Generoso et al. (see record 2017-40035-016) on the original article (see record 2017-03262-001). The authors recently published a meta-analysis describing the effects of noninvasive brain stimulation (neuromodulation) on food cravings and consumption. In this meta-analysis, we reported a significant effect of neuromodulation on cravings overall and further noted that the effect was significant for repetitive transcranial magnetic stimulation (rTMS) but not for transcranial direct current stimulation (tDCS). Authors found no overall effect of neuromodulation on food consumption, a finding that we attributed to insufficient statistical power in the presence of significant methodological variability in the assessment of eating behavior. In this letter, authors provide additional analyses and interpretation of the literature in this area and respond to a comment by Generoso and colleagues (in this issue of Psychosomatic Medicine) regarding their original meta-analysis. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Hall, Peter A.;Lowe, Cassandra;Vincent, Corita",,,,Lippincott Williams & Wilkins,2017,,US,79,7,839,842,,,*Craving;  *Food Intake;  *Prefrontal Cortex; Transcranial Magnetic Stimulation,28846997,2017-40035-017,,1534-7796(Electronic);0033-3174(Print),,http://dx.doi.org/10.1097/PSY.0000000000000504
Journal Article,Work and leisure in Thomas More’s Utopia.,"Relationship between work and leisure lays at the core of Thomas More’s political concerns and his vision of a Utopian society, but received little systematic research attention. This article addresses a question that has been often raised—whether Utopia expresses More’s views or is just a jest, since it in so many ways conflicts with his subsequent political stands and pronouncements. The article examines More’s vision of work and leisure within the context of his evolving social and political views and England’s political, economical and confessional challenges of the sixteenth century. The article proposes that the prospect of leisure offered in Utopia has been often simplified and the practice of a six-hour workday should not overshadow the fact that Utopians were expected to work 329 days a year and their leisure life was strongly regimented. The article suggests that, after being published, Utopia assumed its own life which foreshadowed both the challenges as well as some ominous aspects of future real-life Utopias. As a prophecy of a system of social justice and enlightened leisure Utopia failed, but it drew attention to the inherent dilemma of achieving a socially desirable and politically sustainable balance of work and leisure. More’s tragic end should not veil the relevancy of More’s intent (if not the solution) of bridging the gap between work and leisure—a task that remains remarkably salient today. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Zuzanek, Jiri",,,,Taylor & Francis,2017,,United Kingdom,36,3,305,314,,,*History;  *Leisure Time;  *Policy Making; Attention,,2017-18532-001,"Zuzanek, Jiri: zuzanek@uwaterloo.ca",1466-4496(Electronic);0261-4367(Print),,
Journal Article,Tourism and gratitude: Valuing acts of kindness.,"Explorations of kindness and gratitude, a felt sense of thankfulness, are missing from tourism studies. Such explorations shed light on psychological value of relationships and social capital. We adopted a positive psychology theoretical lens to explore acts of kindness from strangers towards tourists and to understand how these acts are valued. To meet that aim, we conducted a study with twenty Canadian tourists. Through thematic analysis of semi structured, in-depth interviews, we identified these themes: trust in the other person; a sense of risk or adventurousness; novelty or authenticity of the experience; and eudaimonic growth, that is, receiving kindness from strangers indicated well-being beyond experiencing pleasures. Costs and benefits to benefactors were identified. We developed a model that explains how acts of kindness are personally valued by tourists. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Filep, Sebastian;Macnaughton, Julian;Glover, Troy",,,,Elsevier Science,2017,,Netherlands,66,,26,36,,,*Happiness;  *Tourism;  *Well Being; Social Capital,,2017-35594-004,"Filep, Sebastian: Department of Tourism, University of Otago, PO Box 56, Dunedin, New Zealand, 9054, sebastian.filep@otago.ac.nz",1873-7722(Electronic);0160-7383(Print),,http://dx.doi.org/10.1016/j.annals.2017.05.015
Comment/Reply,The costs and benefits of a cigarette ban.,"The death toll from tobacco is staggering: it might contribute to one billion premature deaths over the course of the 21st century. In ‘The case for banning cigarettes’, Kalle Grill and Kristin Voigt argue that the well-being and equality benefits of a complete ban on cigarettes more than justify the restrictions on autonomy that such a ban would impose. Their argument depends on two crucial simplifications: an assumption that the ban would be effective and the restriction of the analysis to a comparison with the status quo, rather than a broader range of policy options. I argue that despite the authors’ claims, these two simplifications make it impossible for their argument to ‘bring into focus the fundamental normative issues’ surrounding a possible cigarette ban, since they dramatically overstate the benefits and obscure the most significant costs of such a ban. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Doucet, Mathieu",,,,BMJ Publishing Group,2017,,United Kingdom,43,6,411,412,,,*Policy Making;  *Smoking Cessation;  *Well Being; Death and Dying,28258070,2017-31740-014,"Doucet, Mathieu: Department of Philosophy, University of Waterloo, 200 University Ave West, Waterloo, ON, Canada, N2L 3G1, mdoucet@uwaterloo.ca",1473-4257(Electronic);0306-6800(Print),,http://dx.doi.org/10.1136/medethics-2017-104172
Journal Article,Disfluency effects on lexical selection.,"Recent research has suggested that introducing a disfluency in the context of written composition (i.e., typing with one hand) can increase lexical sophistication. In the current study, we provide a strong test between two accounts of this phenomenon, one that attributes it to the delay caused by the disfluency and one that attributes it to the disruption of typical finger-to-letter mappings caused by the disfluency. To test between these accounts, we slowed down participants’ typewriting by introducing a small delay between keystrokes while individuals wrote essays. Critically, this manipulation did not disrupt typical finger-to-letter mappings. Consistent with the delay-based account, our results demonstrate that the essays written in this less fluent condition were more lexically diverse and used less frequent words. Implications for the temporal dynamics of lexical selection in complex cognitive tasks are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Medimorec, Srdan;Young, Torin P.;Risko, Evan F.",,,,Elsevier Science,2017,,Netherlands,158,,28,32,,,*Cognitive Processes;  *Lexical Access;  *Task Analysis;  *Typing; Words (Phonetic Units),27771539,2016-58256-004,"Medimorec, Srdan: Department of Psychology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, smedimorec@uwaterloo.ca",1873-7838(Electronic);0010-0277(Print),,http://dx.doi.org/10.1016/j.cognition.2016.10.008
Journal Article,Built-in bad luck: Evidence of near-miss outcomes by design in scratch cards.,"Scratch cards are a pervasive form of gambling in the Canadian marketplace. Despite their widespread appeal, we are only beginning to understand the influence of their structural characteristics on the player. The most widely studied of these characteristics is the near-miss, a game outcome in which the player gets two of the three needed symbols to win a jackpot prize. Although other authors have noted the existence of these outcomes in scratch cards, no systematic investigation has been undertaken to understand their occurrence in these games. We present the results of an analysis to determine the frequency of these outcomes using two samples (sample A, n = 41; sample B, n = 61) of a popular scratch card game available in Ontario, Canada. Our results suggest that certain scratch card games may be designed to include more pairs of jackpot symbols (i.e., more near-miss outcomes) than any other symbol pair. In the game that we analyzed, the top prize symbol occurred more often than any other symbol and appeared to be manipulated to appear in clusters of two, creating many near-miss outcomes to the jackpot prize. This work has strong implications for the study of gambling behaviour, responsible gambling strategies, as well as for the scientific investigation of scratch card games. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Stange, Madison;Brown, Dan G.;Harrigan, Kevin;Dixon, Michael",,,,Centre for Addiction and Mental Health (CAMH),2017,,Canada,36,,51,64,,,*Gambling;  *Games; Strategies,,2018-22307-003,"Stange, Madison: Department of Psychology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, mstange@uwaterloo.ca",1910-7595(Print),,
Journal Article,"What are mixed emotions and what conditions foster them? Life-span experiences, culture and social awareness.","‘Mixed emotions’ is often used synonymously with the notion of complex emotional experiences. Emotional complexity can also mean differentiation of emotions, both within and across situations. We review empirical evidence concerning the relationship between various forms of emotional complexity, integrating them in a general conceptual framework. Mixed emotions converge with other metrics of complexity when accounting for the same level of analysis (across time vs. state-specific) and less so when crossing these levels. Moreover, mixed emotions and other forms of complexity appear to vary as a function of various contextual factors, including age, culture, and situation. In particular, contexts promoting focus beyond one’s immediate point of view appear to facilitate emotional complexity more than self-focused contexts. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Grossmann, Igor;Ellsworth, Phoebe C.",,,,Elsevier Science,2017,,Netherlands,15,,1,5,,,*Awareness;  *Emotions;  *Life Experiences;  *Life Span; Sociocultural Factors,,2017-27379-004,"Grossmann, Igor: Department of Psychology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, igrossma@uwaterloo.ca",2352-1554(Electronic);2352-1546(Print),,http://dx.doi.org/10.1016/j.cobeha.2017.05.001
Journal Article,Origins of the belief in good true selves.,"Despite differences in beliefs about the self across cultures and relevant individual differences, recent evidence suggests that people universally believe in a ‘true self’ that is morally good. We propose that this belief arises from a general tendency: psychological essentialism (PE). (PsycINFO Database Record (c) 2018 APA, all rights reserved)","De Freitas, Julian;Cikara, Mina;Grossmann, Igor;Schlegel, Rebecca",,,,Elsevier Science,2017,,Netherlands,21,9,634,636,,,*Attitudes;  *Individual Differences; Cognitive Science,28601535,2017-35585-003,"De Freitas, Julian: defreitas@g.harvard.edu",1879-307X(Electronic);1364-6613(Print),,http://dx.doi.org/10.1016/j.tics.2017.05.009
Journal Article,“Because it's hers”: When preschoolers use ownership in their explanations.,"Young children show competence in reasoning about how ownership affects object use. In the present experiments, we investigate how influential ownership is for young children by examining their explanations. In three experiments, we asked 3- to 5-year-olds (N = 323) to explain why it was acceptable (Experiments 1–3) or unacceptable (Experiment 2 and 3) for a person to use an object. In Experiments 1 and 2, older preschoolers referenced ownership more than alternative considerations when explaining why it was acceptable or unacceptable for a person to use an object, even though ownership was not mentioned to them. In Experiment 3, ownership was mentioned to children. Here, younger preschoolers frequently referenced ownership when explaining unacceptability of using an object, but not when explaining why using it was acceptable. These findings suggest that ownership is influential in preschoolers’ explanations about the acceptability of using objects, but that the scope of its influence increases with age. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Nancekivell, Shaylene E.;Friedman, Ori",,,,Wiley-Blackwell Publishing Ltd.,2017,,United Kingdom,41,3,827,843,,,*Concept Formation;  *Ownership;  *Preschool Education; Preschool Students,26936795,2016-11578-001,"Nancekivell, Shaylene E.: Department of Psychology, University of Waterloo, 200 University Avenue W, Waterloo, ON, Canada, N2L 3G1, shaylenen@gmail.com",1551-6709(Electronic);0364-0213(Print),,http://dx.doi.org/10.1111/cogs.12358
Journal Article,Exploring the relationship of task performance and physical and cognitive fatigue during a daylong light precision task.,"Objective: Our aim was to explore the relationship between fatigue and operation system performance during a simulated light precision task over an 8-hr period using a battery of physical (central and peripheral) and cognitive measures. Background: Fatigue may play an important role in the relationship between poor ergonomics and deficits in quality and productivity. However, well-controlled laboratory studies in this area have several limitations, including the lack of work relevance of fatigue exposures and lack of both physical and cognitive measures. There remains a need to understand the relationship between physical and cognitive fatigue and task performance at exposure levels relevant to realistic production or light precision work. Method: Errors and fatigue measures were tracked over the course of a micropipetting task. Fatigue responses from 10 measures and errors in pipetting technique, precision, and targeting were submitted to principal component analysis to descriptively analyze features and patterns. Results: Fatigue responses and error rates contributed to three principal components (PCs), accounting for 50.9% of total variance. Fatigue responses grouped within the three PCs reflected central and peripheral upper extremity fatigue, postural sway, and changes in oculomotor behavior. Conclusion: In an 8-hr light precision task, error rates shared similar patterns to both physical and cognitive fatigue responses, and/or increases in arousal level. Application: The findings provide insight toward the relationship between fatigue and operation system performance (e.g., errors). This study contributes to a body of literature documenting task errors and fatigue, reflecting physical (both central and peripheral) and cognitive processes. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Yung, Marcus;Manji, Rahim;Wells, Richard P.",,,,Sage Publications,2017,,US,59,7,1029,1047,,,*Cognitive Processes;  *Fatigue;  *Performance;  *Working Conditions; Human Factors Engineering,28658591,2017-45573-001,"Yung, Marcus: Department of Kinesiology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, m4yung@uwaterloo.ca",1547-8181(Electronic);0018-7208(Print),,http://dx.doi.org/10.1177/0018720817717026
Journal Article,Non‐uniform phase sensitivity in spatial frequency maps of the human visual cortex.,"Complex natural scenes can be decomposed into their oriented spatial frequency (SF) and phase relationships, both of which are represented locally at the earliest stages of cortical visual processing. The SF preference map in the human cortex, obtained using synthetic stimuli, is orderly and correlates strongly with eccentricity. In addition, early visual areas show sensitivity to the phase information that describes the relationship between SFs and thereby dictates the structure of the image. Taken together, two possibilities arise for the joint representation of SF and phase: either the entirety of the cortical SF map is uniformly sensitive to phase, or a particular set of SFs is selectively phase sensitive—for example, greater phase sensitivity for higher SFs that define fine‐scale edges in a complex scene. To test between these two possibilities, we constructed a novel continuous natural scene video whereby phase information was maintained in one SF band but scrambled elsewhere. By shifting the central frequency of the phase‐aligned band in time, we mapped the phase‐sensitive SF preference of the visual cortex. Using functional magnetic resonance imaging, we found that phase sensitivity in early visual areas is biased toward higher SFs. Compared to a SF map of the same scene obtained using linear‐filtered stimuli, a much larger patch of areas V1 and V2 is sensitive to the phase alignment of higher SFs. The results of early areas cannot be explained by attention. Our results suggest non‐uniform sensitivity to phase alignment in population‐level SF representations, with phase alignment being particularly important for fine‐scale edge representations of natural scenes. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Farivar, Reza;Clavagnier, Simon;Hansen, Bruce C.;Thompson, Ben;Hess, Robert F.",,,,Wiley-Blackwell Publishing Ltd.,2017,,United Kingdom,595,4,1351,1363,,,*Cerebral Atrophy;  *Spatial Ability; Visual Cortex,27748961,2017-05233-001,"Farivar, Reza: McGill Vision Research Unit,Montreal General Hospital, Room L7-213, 1650 Cedar Avenue, Montreal, PQ, Canada, H3G 1A4, reza.farivar@mcgill.ca",1469-7793(Electronic);0022-3751(Print),,http://dx.doi.org/10.1113/JP273206
Journal Article,Disrupting monotony while increasing demand: Benefits of rest and intervening tasks on vigilance.,"In the experiments presented here, we examined the impact of intervening tasks on the vigilance decrement. In Experiment 1 participants either (a) continuously performed a visuospatial vigilance task, (b) received a rest break, or (c) temporarily performed a different, demanding visuospatial task in the middle of the vigil. Both taking a rest break and performing the intervening task were found to alleviate the vigilance decrement in response times. Target detection accuracy was equivalent across groups. In Experiment 2 we obtained subjective ratings of task demand, boredom, motivation, and mind wandering for both the vigilance task and intervening task administered in Experiment 1. The intervening task was rated as more demanding in terms of mental demand, physical demand, temporal demand, own performance, effort, and frustration. In addition, participants also reported being more bored, less motivated, and reported mind wandering more frequently when completing the vigil. Disruptions to task monotony (even if cognitively demanding), can alleviate the vigilance decrement. The implications of this finding with respect to current theoretical accounts of the vigilance decrement are discussed. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Ralph, Brandon C. W.;Onderwater, Kris;Thomson, David R.;Smilek, Daniel",,,,Springer,2017,,Germany,81,2,432,444,,,*Motivation;  *Performance;  *Vigilance; Visuospatial Ability,26895452,2016-09590-001,"Ralph, Brandon C. W.: Department of Psychology, University of Waterloo, 200 University Ave. West, Waterloo, ON, Canada, N2L 3G1, bcwralph@uwaterloo.ca",1430-2772(Electronic);0340-0727(Print),,http://dx.doi.org/10.1007/s00426-016-0752-7
Journal Article,Metatation: Annotation as implicit interaction to bridge close and distant reading.,"In the domain of literary criticism, many critics practice close reading, annotating by hand while performing a detailed analysis of a single text. Often this process employs the use of external resources to aid analysis. In this article, we present a study and subsequent tool design focused on leveraging a critic’s annotations as implicit interactions for initiating context-specific computational support that automatically searches external resources. We observed 14 poetry critics performing a close reading, revealing a set of cognitive practices supported through free-form annotation that have not previously been discussed in this context. We used guidelines derived from our study to design a tool, Metatation, which uses a pen-and-paper system with a peripheral display to utilize reader annotations as underspecified interactions to augment close reading. By turning paper-based annotations into implicit queries, Metatation provides relevant supplemental information in a just-in-time manner and acts as a bridge between close and distant reading. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Mehta, Hrim;Bradley, Adam;Hancock, Mark;Collins, Christopher",,,,ACM - Association for Computing Machinery,2017,,US,24,5,1,41,,,*Computer Assisted Instruction;  *Human Computer Interaction; Reading,,2017-56208-004,"Mehta, Hrim: 2000 Simcoe Street North, Oshawa, ON, Canada, L1H 7K4, hrim.mehta@uoit.ca",1557-7325(Electronic);1073-0516(Print),,http://dx.doi.org/10.1145/3131609
Journal Article,"Cross-country comparison of smokers’ reasons for thinking about quitting over time: Findings from the International Tobacco Control Four Country Survey (ITC-4C), 2002–2015.","Objective: To explore between-country differences and within-country trends over time in smokers’ reasons for thinking about quitting and the relationship between reasons and making a quit attempt. Methods: Participants were nationally representative samples of adult smokers from the UK (N = 4717), Canada (N = 4884), the USA (N = 6703) and Australia (N = 4482), surveyed as part of the International Tobacco Control Four Country Survey between 2002 and 2015. Generalised estimating equations were used to evaluate differences among countries in smokers’ reasons for thinking about quitting and their association with making a quit attempt at follow-up wave. Results: Smokers’ concern for personal health was consistently the most frequently endorsed reason for thinking about quitting in each country and across waves, and was most strongly associated with making a quit attempt. UK smokers were less likely than their counterparts to endorse health concerns, but were more likely to endorse medication and quitline availability reasons. Canadian smokers endorsed the most reasons, and smokers in the USA and Australia increased in number of reasons endorsed over the course of the study period. Endorsement of health warnings, and perhaps price, appears to peak in the year or so after the change is introduced, whereas other responses were not immediately linked to policy changes. Conclusions: Differences in reasons for thinking about quitting exist among smokers in countries with different histories of tobacco control policies. Health concern is consistently the most common reason for quitting and the strongest predictor of future attempts. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Kasza, Karin A.;Hyland, Andrew J.;Borland, Ron;McNeill, Ann;Fong, Geoffrey T.;Carpenter, Matthew J.;Partos, Timea;Cummings, K. Michael",,,,BMJ Publishing Group,2017,,United Kingdom,26,6,641,648,,,*Smoking Cessation;  *Thinking;  *Tobacco Smoking; Trends,27798323,2017-52174-002,"Kasza, Karin A.: Department of Health Behavior, Roswell Park Cancer Institute, Buffalo, NY, US, 14263, karin.kasza@roswellpark.org",1468-3318(Electronic);0964-4563(Print),,http://dx.doi.org/10.1136/tobaccocontrol-2016-053299
Journal Article,Association between fine motor skills and binocular visual function in children with reading difficulties.,"Performance of fine motor skills (FMS) assessed by a clinical test battery has been associated with reading achievement in school-age children. However, the nature of this association remains to be established. The aim of this study was to assess FMS in children with reading difficulties using two experimental tasks, and to determine if performance is associated with reduced binocular function. We hypothesized that in comparison to an age- and sex-matched control group, children identified with reading difficulties will perform worse only on a motor task that has been shown to rely on binocular input. To test this hypothesis, motor performance was assessed using two tasks: bead-threading and peg-board in 19 children who were reading below expected grade and age-level. Binocular vision assessment included tests for stereoacuity, fusional vergence, amplitude of accommodation, and accommodative facility. In comparison to the control group, children with reading difficulties performed significantly worse on the bead-threading task. In contrast, performance on the peg-board task was similar in both groups. Accommodative facility was the only measure of binocular function significantly associated with motor performance. Findings from our exploratory study suggest that normal binocular vision may provide an important sensory input for the optimal development of FMS and reading. Given the small sample size tested in the current study, further investigation to assess the contribution of binocular vision to the development and performance of FMS and reading is warranted. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Niechwiej-Szwedo, Ewa;Alramis, Fatimah;Christian, Lisa W.",,,,Elsevier Science,2017,,Netherlands,56,Part B,1,10,,,*Childhood Development;  *Motor Skills; Reading,,2017-53478-003,"Niechwiej-Szwedo, Ewa: Department of Kinesiology, University of Waterloo, 200 University Ave. W., Waterloo, ON, Canada, N2L 3G1, eniechwi@uwaterloo.ca",0167-9457(Print),,http://dx.doi.org/10.1016/j.humov.2017.10.014
Journal Article,Consistency between verbal and non-verbal affective cues: A clue to speaker credibility.,"Listeners are exposed to inconsistencies in communication; for example, when speakers’ words (i.e. verbal) are discrepant with their demonstrated emotions (i.e. non-verbal). Such inconsistencies introduce ambiguity, which may render a speaker to be a less credible source of information. Two experiments examined whether children make credibility discriminations based on the consistency of speakers’ affect cues. In Experiment 1, school-age children (7- to 8-year-olds) preferred to solicit information from consistent speakers (e.g. those who provided a negative statement with negative affect), over novel speakers, to a greater extent than they preferred to solicit information from inconsistent speakers (e.g. those who provided a negative statement with positive affect) over novel speakers. Preschoolers (4- to 5-year-olds) did not demonstrate this preference. Experiment 2 showed that school-age children's ratings of speakers were influenced by speakers’ affect consistency when the attribute being judged was related to information acquisition (speakers’ believability, “weird” speech), but not general characteristics (speakers’ friendliness, likeability). Together, findings suggest that school-age children are sensitive to, and use, the congruency of affect cues to determine whether individuals are credible sources of information. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Gillis, Randall L.;Nilsen, Elizabeth S.",,,,Taylor & Francis,2017,,United Kingdom,31,4,645,656,,,*Credibility;  *Cues;  *Verbal Ability;  *Child Characteristics;  *Negative Emotions; Emotion Recognition,26892724,2017-15182-003,"Nilsen, Elizabeth S.: enilsen@uwaterloo.ca",1464-0600(Electronic);0269-9931(Print),,http://dx.doi.org/10.1080/02699931.2016.1147422
Journal Article,The wisdom in virtue: Pursuit of virtue predicts wise reasoning about personal conflicts.,"[Correction Notice: An Erratum for this article was reported in Vol 28(12) of Psychological Science (see record 2017-56249-017). In the original article results for the Pursuit of Virtue × Conflict Type interaction in Study 2 were incorrectly reported. The correct results are present in the erratum.] Most people can reason relatively wisely about others’ social conflicts, but often struggle to do so about their own (i.e., Solomon’s paradox). We suggest that true wisdom should involve the ability to reason wisely about both others’ and one’s own social conflicts, and we investigated the pursuit of virtue as a construct that predicts this broader capacity for wisdom. Results across two studies support prior findings regarding Solomon’s paradox: Participants (N = 623) more strongly endorsed wise-reasoning strategies (e.g., intellectual humility, adopting an outsider’s perspective) for resolving other people’s social conflicts than for resolving their own. The pursuit of virtue (e.g., pursuing personal ideals and contributing to other people) moderated this effect of conflict type. In both studies, greater endorsement of the pursuit of virtue was associated with greater endorsement of wise-reasoning strategies for one’s own personal conflicts; as a result, participants who highly endorsed the pursuit of virtue endorsed wise-reasoning strategies at similar levels for resolving their own social conflicts and resolving other people’s social conflicts. Implications of these results and underlying mechanisms are explored and discussed. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Huynh, Alex C.;Oakes, Harrison;Shay, Garrett R.;McGregor, Ian",,,,Sage Publications,2017,,US,28,12,1848,1856,,,*Conflict;  *Reasoning;  *Wisdom;  *Virtue;  *Open Data; Motivation; Well Being,28972825,2017-56249-012,"Huynh, Alex C.: Department of Psychology, University of Waterloo, 200 University Ave. West, Waterloo, ON, Canada, N2L 3G1, alex.huynh@uwaterloo.ca",1467-9280(Electronic);0956-7976(Print),,http://dx.doi.org/10.1177/0956797617722621
Journal Article,Listeners learn phonotactic patterns conditioned on suprasegmental cues.,"Language learners are sensitive to phonotactic patterns from an early age, and can acquire both simple and 2nd-order positional restrictions contingent on segment identity (e.g., /f/ is an onset with /æ/but a coda with /ɪ/). The present study explored the learning of phonototactic patterns conditioned on a suprasegmental cue: lexical stress. Adults first heard non-words in which trochaic and iambic items had different consonant restrictions. In Experiment 1, participants trained with phonotactic patterns involving natural classes of consonants later falsely recognized novel items that were consistent with the training patterns (legal items), demonstrating that they had learned the stress-conditioned phonotactic patterns. However, this was only true for iambic items. In Experiment 2, participants completed a forced-choice test between novel legal and novel illegal items and were again successful only for the iambic items. Experiment 3 demonstrated learning for trochaic items when they were presented alone. Finally, in Experiment 4, in which the training phase was lengthened, participants successfully learned both sets of phonotactic patterns. These experiments provide evidence that learners consider more global phonological properties in the computation of phonotactic patterns, and that learners can acquire multiple sets of patterns simultaneously, even contradictory ones. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","White, Katherine S.;Chambers, Kyle E.;Miller, Zachary;Jethava, Vibhuti",,,,Taylor & Francis,2017,,United Kingdom,70,12,2560,2576,,,*Conditioning;  *Cues;  *Learning; Phonology,27734753,2017-39051-011,"White, Katherine S.: University of Waterloo, 200 University Ave W., Waterloo, ON, Canada, N2L3G1, white@uwaterloo.ca",1747-0226(Electronic);1747-0218(Print),,http://dx.doi.org/10.1080/17470218.2016.1247896
Journal Article,Enhanced motor imagery-based bci performance via tactile stimulation on unilateral hand.,"Brain-computer interface (BCI) has attracted great interests for its effectiveness in assisting disabled people. However, due to the poor BCI performance, this technique is still far from daily-life applications. One of critical issues confronting BCI research is how to enhance BCI performance. This study aimed at improving the motor imagery (MI) based BCI accuracy by integrating MI tasks with unilateral tactile stimulation (Uni-TS). The effects were tested on both healthy subjects and stroke patients in a controlled study. Twenty-two healthy subjects and four stroke patients were recruited and randomly divided into a control-group and an enhanced-group. In the control-group, subjects performed two blocks of conventional MI tasks (left hand vs. right hand), with 80 trials in each block. In the enhanced-group, subjects also performed two blocks of MI tasks, but constant tactile stimulation was applied on the non-dominant/paretic hand during MI tasks in the second block. We found the Uni-TS significantly enhanced the contralateral cortical activations during MI of the stimulated hand, whereas it had no influence on activation patterns during MI of the non-stimulated hand. The two-class BCI decoding accuracy was significantly increased from 72.5% (MI without Uni-TS) to 84.7% (MI with Uni-TS) in the enhanced-group (p80% during MI with Uni-TS. This novel approach complements the conventional methods for BCI enhancement without increasing source information or complexity of signal processing. This enhancement via Uni-TS may facilitate clinical applications of MI-BCI. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Shu, Xiaokang;Yao, Lin;Sheng, Xinjun;Zhang, Dingguo;Zhu, Xiangyang",,,,Frontiers Media S.A.,2017,,Switzerland,11,,,,,,*Evoked Potentials;  *Human Computer Interaction; Stimulation,29249952,2017-55377-001,"Zhu, Xiangyang: mexyzhu@sjtu.edu.cn",1662-5161(Electronic),,http://dx.doi.org/10.3389/fnhum.2017.00585
Journal Article,"Workload, risks, and goal framing as antecedents of shortcut behaviors.","Purpose: Shortcut behaviors are methods of completing a task that require less time than typical or standard procedures. These behaviors carry the benefit of increasing efficiency, yet can also carry risks (e.g., of an accident). The purpose of this research is to understand the reasons individuals engage in shortcut behaviors, even when doing so is known to be risky. Design/Methodology/Approach: We present two laboratory studies (N = 121 and N = 144) in which participants performed an air traffic control simulation. Participants could improve efficiency by taking shortcuts; that is, by sending aircraft off the prescribed flight paths. This design allowed for direct and unobtrusive observation of shortcut behaviors. Findings: Individuals who were told that efficiency was an obligation tended to believe that shortcut behaviors had utility for managing high workloads, even when the risks associated with shortcuts were high. Downstream, utility perceptions were positively related to actual shortcut behavior. Implications: Although communicating risks may be used to help individuals balance the “pros” and “cons” of shortcut behaviors, goal framing is also important. Subtle cues indicating that efficiency is an obligation can lead to elevated perceptions of the utility of shortcut behaviors, even when knowing that engaging in shortcut behaviors is very risky. Originality/Value: Past research has provided limited insights into the reasons individuals sometimes engage in shortcut behaviors even when doing so is known to be risky. The current research speaks to this issue by identifying workload and obligation framing as antecedents of the decision to take shortcuts. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Beck, James W.;Scholer, Abigail A.;Schmidt, Aaron M.",,,,Springer,2017,,Germany,32,4,421,440,,,*Framing Effects;  *Goals;  *Time Management;  *Time On Task;  *Work Load; Motivation; Risk Assessment,,2016-30619-001,"Beck, James W.: Department of Psychology, University of Waterloo, 200 University Ave W., Waterloo, ON, Canada, N2L3G1, james.beck@uwaterloo.ca",1573-353X(Electronic);0889-3268(Print),,http://dx.doi.org/10.1007/s10869-016-9450-0
