Title,USD
Journal of Nursing Management,3700
Journal of Nursing Scholarship,2000
Journal of Obstetrics and Gynaecology Research,2700
Journal of Occupational and Organizational Psychology,2500
Journal of Operations Management,3000
Journal of Oral Pathology & Medicine,3500
Journal of Oral Rehabilitation,3600
Journal of Organizational Behavior,3200
Journal of Orthopaedic Research ®,3000
Journal of Paediatrics and Child Health,3300
Journal of Parenteral and Enteral Nutrition,3000
Journal of Peptide Science,3500
Journal of Periodontal Research,3700
Journal of Periodontology,3000
Journal of Personality,3000
Journal of Petroleum Geology,2500
Journal of Pharmaceutical Health Services Research,2500
Journal of Pharmacy and Pharmacology,3300
Journal of Pharmacy Practice and Research,2500
Journal of Philosophy of Education,2500
Journal of Phycology,3000
Journal of Physical Organic Chemistry,3300
Journal of Phytopathology,2900
Journal of Pineal Research,3800
Journal of Plant Nutrition and Soil Science,3200
Journal of Policy Analysis and Management,3000
Journal of Policy and Practice In Intellectual Disabilities,2500
Journal of Polymer Science Part A: Polymer Chemistry,3200
Journal of Polymer Science Part B: Polymer Physics,3200
Journal of Product Innovation Management,3000
Journal of Prosthodontics,2500
Journal of Psychiatric and Mental Health Nursing,3300
Journal of Public Affairs,2500
Journal of Public Economic Theory,2500
Journal of Public Health Dentistry,3100
Journal of Quaternary Science,3600
Journal of Raman Spectroscopy,4200
Journal Of Regional Science,3100
Journal of Religious Ethics,2500
Journal of Religious History,2500
Journal of Renal Care,2500
Journal of Research in Reading,3000
Journal of Research in Science Teaching,3300
Journal of Research in Special Educational Needs,3000
Journal of Research On Adolescence,3100
Journal of Risk and Insurance,3000
Journal of School Health,3000
Journal of Sensory Studies,3000
Journal of Separation Science,3500
Journal of Sleep Research,3500
Journal of Small Animal Practice,3000
Journal of Small Business Management,2500
Journal of Social Issues,3000
Journal of Social Philosophy,2500
Journal of Sociolinguistics,3000
Journal of Software: Evolution and Process,3000
Journal of Supply Chain Management,3000
Journal of Surfactants and Detergents,3000
Journal of Surgical Oncology,4200
Journal of Synchrotron Radiation,3400
Journal of Systematics and Evolution,3000
Journal of Texture Studies,3000
Journal of the American Ceramic Society,3000
Journal of the American Geriatrics Society,4300
Journal of the American Heart Association,2750
Journal of The American Oil Chemists' Society,3000
Journal of the American Water Resources Association,3000
Journal of the Association for Information Science and Technology,3000
Journal of the Chinese Chemical Society,3000
Journal of the European Academy of Dermatology and Venereology,3000
Journal of the Experimental Analysis of Behavior,2500
Journal of the History of the Behavioral Sciences,3100
Journal of the Institute of Brewing,2500
Journal of the International AIDS Society,2400
Journal of the London Mathematical Society,3000
Journal of the Peripheral Nervous System,3800
Journal of the Royal Anthropological Institute,3000
Journal of the Royal Statistical Society: Series A (Statistics in Society),3000
Journal of the Royal Statistical Society: Series B (Statistical Methodology),3000
Journal of the Royal Statistical Society: Series C (Applied Statistics),3000
Journal of the Science of Food and Agriculture,3900
Journal of the Society for Information Display,3000
Journal of the World Aquaculture Society,2500
Journal of Theoretical Social Psychology,2500
Journal of Thrombosis and Haemostasis,3500
Journal of Time Series Analysis,3500
Journal of Tissue Engineering and Regenerative Medicine,4200
Journal of Topology,3000
Journal of Traumatic Stress,2500
Journal of Ultrasound in Medicine,3000
Journal of Vegetation Science,3800
Journal of Veterinary Emergency and Critical Care,2500
Journal of Veterinary Internal Medicine,1804
Journal of Veterinary Pharmacology and Therapeutics,4000
Journal of Vinyl & Additive Technology,3000
Journal of Viral Hepatitis,4100
Journal of Zoological Systematics and Evolutionary Research,3600
Journal of Zoology,3600
Juvenile and Family Court Journal,2500
Knowledge and Process Management,2500
Kyklos,2800
LABOUR,2500
"Lakes & Reservoirs: Science, Policy and Management for Sustainable Use",2500
Land Degradation & Development,3800
Language & Linguistics Compass,2500
Language Learning,3000
Laryngoscope Investigative Otolaryngology,1950
Laser & Photonics Reviews,3800
Lasers in Surgery and Medicine,4000
Latin American Policy,2500
Law & Policy,2500
Law & Society Review,2500
Learned Publishing,2900
Learning Disabilities Research & Practice,2500
Learning Health Systems,2000
Legal and Criminological Psychology,2500
Legislative Studies Quarterly,2500
Lethaia,3300
Letters In Applied Microbiology,3400
Limnology and Oceanography,2500
Limnology and Oceanography Bulletin,2500
Limnology and Oceanography Letters,2500
Limnology and Oceanography: Methods,2500
Lipids,3000
Literacy,3000
Literature Compass,2500
Liver International,4100
Liver Transplantation,1500
London Business School Review,2500
Lubrication Science,3600
Luminescence: The Journal of Biological and Chemical Luminescence,2900
LUTS,2500
Macromolecular Bioscience,3800
Macromolecular Chemistry and Physics,3800
Macromolecular Materials and Engineering,3800
Macromolecular Rapid Communications,3800
Macromolecular Reaction Engineering,3800
Macromolecular Symposia,3800
Macromolecular Theory and Simulations,3800
Magnetic Resonance in Chemistry,3900
Magnetic Resonance in Medicine,3500
Mammal Review,2500
Managerial and Decision Economics,2500
Marine and Coastal Fisheries,1800
Marine Ecology,3100
Marine Mammal Science,3000
Mass Spectrometry Reviews,4000
Material Design & Processing Communications,2500
Materials and Corrosion,3700
Materialwissenschaft und Werkstofftechnik,3000
Maternal & Child Nutrition,4000
Mathematical Finance,3000
Mathematical Logic Quarterly,2500
Mathematical Methods in the Applied Sciences,3600
Mathematische Nachrichten,2500
Medical and Veterinary Entomology,3000
Medical Anthropology Quarterly,3000
Medical Devices & Sensors,3000
Medical Education,4300
Medical Journal of Australia,2500
Medical Physics,2700
Medicinal Research Reviews,3000
Metaphilosophy,2500
Meteoritics & Planetary Science,2400
Meteorological Applications,3000
Methods in Ecology and Evolution,3000
Metroeconomica,2900
Microbial Biotechnology,2900
Microbiology and Immunology,2700
MicrobiologyOpen,2400
Microcirculation,3300
Microscopy Research and Technique,3100
Microsurgery,3000
Microwave and Optical Technology Letters,2900
Middle East Policy,3000
Midwest Studies In Philosophy,2500
Milton Quarterly,2500
Mind & Language,3200
"Mind, Brain, and Education",2900
Modern Law Review - The,3000
Modern Theology,2500
Molecular Carcinogenesis,4000
Molecular Ecology,4250
Molecular Ecology Resources,4300
Molecular Genetics & Genomic Medicine,2200
Molecular Informatics,3000
Molecular Microbiology,3250
Molecular Nutrition & Food Research,3800
Molecular Oncology,3000
Molecular Oral Microbiology,3700
Molecular Plant Pathology,2340
Molecular Reproduction & Development,3600
Molecular Systems Biology,4200
Monographs of the Society for Research in Child Development,2500
Movement Disorders,3000
Movement Disorders Clinical Practice(Electronic),2500
Muscle & Nerve,3400
Musculoskeletal Care,2500
Museum Anthropology,3000
Music Analysis,2500
Mycoses,4100
Nations and Nationalism,2500
Natural Resource Modeling,2900
Natural Resources Forum,2500
Naval Research Logistics,2500
Navigation,3000
Near Surface Geophysics,2500
Negotiation and Conflict Management Research,2500
Negotiation Journal,2500
Nephrology,3300
Networks,2500
Neurogastroenterology & Motility,3500
Neurology and Clinical Neuroscience,2500
Neuromodulation,3800
Neuropathology,2500
Neuropathology and Applied Neurobiology,3000
Neuroscience Next,5000
Neurourology and Urodynamics,4100
New Blackfriars,2500
New Directions for Adult and Continuing Education,3000
New Directions for Child and Adolescent Development,3000
New Directions for Community Colleges,3000
New Directions for Evaluation,3000
New Directions for Higher Education,3000
New Directions for Institutional Research,3000
New Directions for Student Leadership,3000
New Directions for Teaching and Learning,3000
New Phytologist,3000
"New Technology, Work and Employment",2900
New Zealand Geographer,2500
NMR in Biomedicine,4300
Nordic Journal of Botany,2000
North American Journal of Aquaculture,3000
North American Journal of Fisheries Management,3000
Noûs,2500
Numerical Linear Algebra With Applications,3000
Numerical Methods for Partial Differential Equations,2500
Nursing & Health Sciences,3000
Nursing Forum,2500
Nursing In Critical Care,2500
Nursing Inquiry,3000
Nursing Open,2100
Nursing Philosophy,3000
Nutrition & Dietetics,2700
Nutrition Bulletin,2500
Nutrition in Clinical Practice,3000
Obesity,3500
Obesity Reviews,4200
Obesity Science & Practice,2625
Oceania,2500
Oikos,2000
OPEC Energy Review,2500
Ophthalmic and Physiological Optics,3000
Optimal Control Applications and Methods,3000
Oral Diseases,3600
Oral Science International,3000
Oral Surgery,2500
Orbis Litterarum,2500
Orthodontics & Craniofacial Research,3500
Orthopaedic Surgery,2000
Oxford Bulletin of Economics and Statistics,3000
Oxford Journal of Archaeology,2500
Pacific Economic Review,2500
Pacific Focus,2500
Pacific Philosophical Quarterly,2500
Pacing and Clinical Electrophysiology,3200
Packaging Technology and Science,3500
Paediatric and Perinatal Epidemiology,4200
Pain Practice,3900
Palaeontology,3250
Paleoceanography and Paleoclimatology,3500
Papers in Palaeontology,2500
Papers In Regional Science,2500
Parasite Immunology,3200
Parliamentary History,2500
Particle & Particle Systems Characterization,3800
Pathology International,3000
Peace & Change,3000
Pediatric Allergy and Immunology,4300
Pediatric Anesthesia,3500
Pediatric Blood & Cancer,3550
Pediatric Dermatology,2900
Pediatric Diabetes,4300
Pediatric Obesity,4200
Pediatric Pulmonology,4200
Pediatric Transplantation,3000
Pediatrics International,2700
People and Nature,2000
Peptide Science,3300
Performance Improvement,3000
Performance Improvement Quarterly,3000
Periodontology 2000,3000
Permafrost and Periglacial Processes,2500
Personal Relationships,2800
Personality and Mental Health,2800
Personnel Psychology,2500
Perspectives In Psychiatric Care,3000
Perspectives On Sexual and Reproductive Health,2500
Pest Management Science,4400
Pharmaceutical Statistics,3600
Pharmacoepidemiology & Drug Safety,4400
Pharmacology Research & Perspectives,2500
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,3000
Philosophical Forum,2500
Philosophical Investigations,2500
Philosophical Issues,2500
Philosophical Perspectives,3000
Philosophy & Public Affairs,2500
Philosophy and Phenomenological Research,2500
Philosophy Compass,2500
Photochemistry and Photobiology,2500
"Photodermatology, Photoimmunology & Photomedicine",3000
Phycological Research,3300
physica status solidi (a) applications and materials science,3800
physica status solidi (b) basic solid state physics,3800
physica status solidi (RRL) rapid research letters,3800
Physiologia Plantarum,3000
Physiological Entomology,3000
Physiological Reports,1600
Physiotherapy Research International,2500
Phytochemical Analysis,3200
Phytotherapy Research,3500
Pigment Cell & Melanoma Research,4300
Plant Biology,3000
Plant Biotechnology Journal,2800
Plant Breeding,3500
Plant Direct,2200
Plant Pathology,3000
Plant Species Biology,2500
"Plant, Cell & Environment",4300
"Plants, People, Planet",2500
Plasma Processes and Polymers,3900
PM&R (Physcial Medicine & Rehabilititation),3000
PoLAR: Political and Legal Anthropology Review,3000
Policy & Internet (Electronic),2500
Policy Studies Journal,3200
Political Psychology,3200
Political Science Quarterly,2500
Politics & Policy,2500
Polymer Composites,3000
Polymer Crystallization,3000
Polymer Engineering & Science,3000
Polymer International,3700
Polymers for Advanced Technologies,3600
Population and Development Review,3000
Population Ecology,3000
"Population, Space and Place",3700
Poverty & Public Policy (Electronic),2500
Precision Radiation Oncology,0
Prenatal Diagnosis,4200
Presidential Studies Quarterly,3000
Proceedings in Applied Mathematics & Mechanics,2500
Proceedings of the London Mathematical Society,3000
Process Safety Progress,3000
Production and Operations Management,2500
Progress in Photovoltaics: Research and Applications,4500
"Propellants, Explosives, Pyrotechnics",3000
Protein Science,2500
"Proteins: Structure, Function, and Bioinformatics",3800
PROTEOMICS,3800
PROTEOMICS - Clinical Applications,3800
PsyCh Journal,2500
Psychiatry and Clinical Neurosciences,2000
Psychogeriatrics,2700
Psychology & Marketing,3000
"Psychology and Psychotherapy: Theory, Research and Practice",2500
Psychology in the Schools,2500
Psycho-Oncology,4300
Psychophysiology,3700
Psychotherapy and Politics International,2500
Public Administration,3200
Public Administration and Development,2600
Public Administration Review,3500
Public Budgeting & Finance,3000
Public Health Nursing,2900
Quality and Reliability Engineering International,3700
Quantum Engineering,3000
Quarterly Journal of the Royal Meteorological Society,3000
R&D Management,3000
Radio Science,3500
Random Structures & Algorithms,3900
Rapid Communications in Mass Spectrometry,4100
Ratio,2500
Ratio Juris,2500
Reading Research Quarterly,3200
Real Estate Economics,2500
Regeneration,2500
Regional Science Policy & Practice,2500
Regulation & Governance,2500
Religion Compass,2500
Religious Studies Review,2500
Remediation,3000
Remote Sensing in Ecology and Conservation,2200
Renaissance Studies,2500
Reproduction in Domestic Animals,3500
Reproductive Medicine Biology,1600
Research and Practice in Thrombosis and Haemostasis,2000
Research in Nursing & Health,3200
Research Synthesis Methods,2750
Resource Geology,3100
Respirology,4000
Respirology Case Reports,1000
Restoration Ecology,3000
Review of Development Economics,2700
Review of Education,3000
"Review of European, Comparative & International Environmental Law",2500
Review of Financial Economics,3000
Review of Income and Wealth,2500
Review of International Economics,2900
Review of Policy Research,3000
Review of Urban & Regional Development Studies,2500
Reviews in Aquaculture,2500
Reviews in Medical Virology,3700
Reviews in Religion & Theology,2500
Reviews of Geophysics,3500
Revista Internacional del Trabajo,2500
Revue internationale du Travail,2500
Risk Analysis,3600
Risk Management and Insurance Review,3000
"Risk, Hazards & Crisis in Public Policy(Electronic)",2500
River Research and Applications,3600
Rural Sociology,2500
Scandinavian Journal of Caring Sciences,2500
Scandinavian Journal of Immunology,3000
Scandinavian Journal of Medicine & Science in Sports,3350
Scandinavian Journal of Psychology,3400
Scandinavian Journal of Statistics,2500
Scandinavian Political Studies,2600
School Science and Mathematics,2500
Science Education,3700
Scottish Journal of Political Economy,2500
Security and Privacy,3000
Sedimentology,3700
Seminars in Dialysis,3300
Separation Science Plus,3000
"Sexuality, Gender & Policy",3000
Significance,2500
Singapore Journal of Tropical Geography,2500
Skin Research and Technology,3200
Small,5000
Small Methods,3800
Social and Personality Psychology Compass,2500
Social Anthropology,2500
Social Development,2900
Social Issues and Policy Review,3000
Social Policy & Administration,3500
Social Science Quarterly,2500
Sociologia Ruralis,3000
Sociological Forum,2800
Sociological Inquiry,2500
Sociology Compass,2500
Sociology of Health & Illness,3200
"Software Testing, Verification & Reliability",3600
Software: Practice and Experience,3200
Soil Use and Management,3500
Solar RRL,3500
Sonography,2500
Southern Economic Journal,2600
Space Weather,3500
Special Care in Dentistry,2500
Starch,3800
Stat,2500
Statistica Neerlandica,2700
Statistical Analysis and Data Mining,3300
Statistics in Medicine,4000
Steel Construction,2500
Steel Research International,3800
STEM CELLS,2000
STEM CELLS and Translational Medicine,1750
Strain,3700
Strategic Change: Briefings in EntrepreneurialFinance,3000
Strategic Entrepreneurship Journal,2500
Strategic Management Journal,3200
Stress and Health,3000
Structural Concrete,2500
Structural Control and Health Monitoring,3200
Studia Linguistica,2500
Studies in Applied Mathematics,3200
Studies In Ethnicity and Nationalism,3000
Studies in Family Planning,3000
Suicide and Life-Threatening Behavior,3000
Support for Learning,3000
Surface and Interface Analysis,3200
Surgical Practice,2500
Sustainable Development,3500
Swiss Political Science Review,2000
Symbolic Interaction,2500
Synapse,2900
Syntax,2800
System Dynamics Review,2500
Systematic Entomology,3000
Systems Engineering,3000
Systems Research and Behavioral Science,2900
TAXON,2127
Teaching Statistics,2500
Teaching Theology & Religion,2500
Tectonics,3500
Terra Nova,3600
TESOL Journal,2500
TESOL Quarterly,2500
The American Journal of Economics and Sociology,2500
The American Journal on Addictions,3000
The Anatomical Record,3000
The Australian Economic Review,2500
The Australian Journal of Agricultural and Resource Economics,2500
The Australian Journal of Anthropology,2600
The Breast Journal,3400
The British Journal of Sociology,2500
The Canadian Geographer/Le Geographe Canadien,2500
The Canadian Journal of Chemical Engineering,3000
The Canadian Journal of Statistics/La revue canadienne de statistique,2700
The Career Development Quarterly,2500
The Chemical Record,4200
The Clinical Respiratory Journal,3100
The Clinical Teacher,2500
The Depositional Record,2000
The Developing Economies,2500
The Economic History Review,3000
The Ecumenical Review,2500
The Electronic Journal of Information Systems in Developing Countries,3900
The EMBO Journal,5200
The FEBS Journal,3800
The Financial Review,2500
The Geographical Journal,3000
The German Quarterly,2500
The Heythrop Journal,2500
The Historian,2500
The Howard Journal of Crime and Justice,3000
The International Journal of Health Planning and Management,3200
The International Journal of Medical Robotics and Computer Assisted Surgery,3000
The Journal of Aesthetics and Art Criticism,2500
The Journal of American Culture,2500
The Journal of Clinical Hypertension,3900
The Journal of Comparative Neurology,4300
The Journal of Creative Behavior,2500
The Journal of Dermatology,3300
The Journal of Finance,3500
The Journal of Financial Research,2500
The Journal of Futures Markets,2500
The Journal of Gene Medicine,3000
The Journal of Humanistic Counseling,2500
The Journal of Industrial Economics,2900
The Journal of Latin American and Caribbean Anthropology,3000
The Journal of Pathology,3600
The Journal of Pathology: Clinical Research,2000
The Journal of Physiology,3950
The Journal of Political Philosophy,3000
The Journal of Popular Culture,2500
The Journal of Rural Health,3000
The Journal of Wildlife Management,3000
The Journal of World Intellectual Property,2500
The Laryngoscope,4100
The Manchester School,2500
The Milbank Quarterly,3200
The Modern Language Journal,3000
The Muslim World,2500
The Obstetrician & Gynaecologist,2500
The Oncologist,1450
The Philosophical Forum,3000
The Photogrammetric Record,2500
The Plant Journal,4000
The Political Quarterly,3000
The Prostate,3550
The RAND Journal of Economics,3100
The Reading Teacher,2500
The Russian Review,2500
The Scandinavian Journal of Economics,3000
The South African Journal of Economics,2500
The Southern Journal of Philosophy,2500
The Structural Design of Tall and Special Buildings,3500
The World Economy,2800
Theoria,2500
Therapeutic Apheresis and Dialysis,3100
Thoracic Cancer,2200
Thought: A Journal of Philosophy,2500
Thunderbird International Business Review,3000
Tijdschrift voor Economische en Sociale Geografie,3000
Topics in Cognitive Science,2900
Traditional & Kampo Medicine,2000
Traffic,3450
Transactions in GIS,3100
Transactions of the American Fisheries Society,3000
Transactions of the Institute of British Geographers,3000
Transactions of the London Mathematical Society,2500
Transactions of the Philological Society,2500
Transactions on Emerging Telecommunications Technologies,3000
Transboundary and Emerging Diseases,4300
Transforming Anthropology,3000
Transfusion,3900
Transfusion Medicine,2500
Translational Sports Medicine,3300
Transplant Infectious Disease,2900
Transplant International,3600
Tropical Medicine & International Health,3000
Ultrasound in Obstetrics & Gynecology,3700
Veterinary and Comparative Oncology,3700
Veterinary Clinical Pathology,2500
Veterinary Dermatology,3000
Veterinary Medicine and Science,2200
Veterinary Ophthalmology,3400
Veterinary Radiology & Ultrasound,3300
Veterinary Surgery,3000
Vietnam Journal of Chemistry,3000
Visual Anthropology Review,3000
Vox Sanguinis,3300
Water and Environment Journal,3100
Water Environment Research,2500
Water Resources Research,2500
Weather,1500
Weed Biology and Management,2500
Weed Research,3000
Wildlife Monographs,2500
Wildlife Society Bulletin,3000
Wiley Interdisciplinary Reviews - Cognitive Science,3100
Wiley Interdisciplinary Reviews - Nanomedicine and Nanobiotechnology,3700
Wiley Interdisciplinary Reviews: Computational Molecular Science,4500
Wiley Interdisciplinary Reviews: Computational Statistics,2500
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,3000
Wiley Interdisciplinary Reviews: Developmental Biology,4200
Wiley Interdisciplinary Reviews: Energy and Environment,3600
Wiley Interdisciplinary Reviews: Forensic Science,3000
Wiley Interdisciplinary Reviews: RNA,4000
Wiley Interdisciplinary Reviews: Systems Biology and Medicine,3800
Wiley Interdisciplinary Reviews: Water,2800
Wind Energy,4400
WIREs Climate Change,4300
World Englishes,2600
World Food Policy,3000
World Medical & Health Policy (Electronic),2500
World Water Policy,3000
Worldviews on Evidence-Based Nursing,2000
Wound Repair and Regeneration,3000
Xenotransplantation,3700
X-Ray Spectrometry,3100
Yeast,3400
ZAMM - Journal of Applied Mathematics and Mechanics,2500
Zeitschrift für anorganische und allgemeine Chemie,3000
Zoo Biology,3400
Zoologica Scripta,3000
Zoonoses and Public Health,4200
Zygon® Journal of Religion and Science,2500
